sample,predict,golden,label,sim
feature_130.npy,"[0.001,0.002,0.997]","[0.001,0.003,0.996]","2",0.997
feature_253.npy,"[0.,0.,1.,0.,0.,0.]","[0.      ,0.000002,0.999997,0.      ,0.      ,0.      ]","2",1.0
feature_255.npy,"[0.,0.,1.,0.,0.,0.]","[0.,0.,1.,0.,0.,0.]","2",1.0
feature_132.npy,"[0.,0.,0.,1.,0.,0.]","[0.      ,0.      ,0.      ,0.999942,0.000058,0.      ]","3",1.0
feature_249.npy,"[0.      ,0.027451,0.972549,0.      ,0.      ,0.003922]","[0.      ,0.031124,0.968875,0.      ,0.000001,0.      ]","2",0.99998426
feature_121.npy,"[0.,1.,0.,0.,0.,0.]","[0.,1.,0.,0.,0.,0.]","1",1.0
feature_141.npy,"[0.      ,0.007843,0.996078,0.      ,0.      ,0.      ]","[0.      ,0.003932,0.996068,0.      ,0.      ,0.      ]","2",0.9999923
feature_256.npy,"[0.,0.,1.,0.,0.,0.]","[0.,0.,1.,0.,0.,0.]","2",1.0
feature_119.npy,"[0.,1.,0.,0.,0.,0.]","[0.,1.,0.,0.,0.,0.]","1",1.0
feature_99.npy,"[0.      ,0.      ,1.      ,0.003922,0.      ,0.      ]","[0.      ,0.      ,0.996068,0.003931,0.000001,0.      ]","2",1.0000001
feature_252.npy,"[0.      ,0.      ,0.643137,0.360784,0.      ,0.      ]","[0.      ,0.000002,0.999998,0.      ,0.      ,0.      ]","2",0.8721431
feature_109.npy,"[0.      ,0.      ,0.764706,0.003922,0.239216,0.      ]","[0.      ,0.      ,0.761914,0.001089,0.236997,0.      ]","2",0.99999243
feature_104.npy,"[0.      ,0.      ,0.760784,0.235294,0.003922,0.007843]","[0.      ,0.      ,0.68494 ,0.313344,0.001716,0.      ]","2",0.99162585
feature_258.npy,"[0.,0.,1.,0.,0.,0.]","[0.      ,0.000094,0.999906,0.      ,0.      ,0.      ]","2",1.0
feature_123.npy,"[0.003922,1.      ,0.      ,0.      ,0.      ,0.      ]","[0.,1.,0.,0.,0.,0.]","1",0.9999924
feature_127.npy,"[0.      ,0.854902,0.      ,0.      ,0.      ,0.14902 ]","[0.,1.,0.,0.,0.,0.]","1",0.98514533
feature_362.npy,"[0.,0.,1.,0.,0.,0.]","[0.,0.,1.,0.,0.,0.]","2",1.0
feature_105.npy,"[0.      ,0.086275,0.      ,0.913726,0.003922,0.      ]","[0.      ,0.      ,0.00015 ,0.995845,0.004004,0.      ]","3",0.9955719
feature_106.npy,"[0.      ,0.      ,0.027451,0.960784,0.015686,0.      ]","[0.      ,0.      ,0.059334,0.918005,0.022661,0.      ]","3",0.9993185
feature_107.npy,"[0.      ,0.      ,1.      ,0.      ,0.003922,0.      ]","[0.      ,0.      ,0.994964,0.000008,0.005029,0.      ]","2",0.99999946
feature_137.npy,"[0.     ,0.     ,0.     ,0.05098,0.94902,0.     ]","[0.000001,0.000606,0.001856,0.051462,0.946076,0.      ]","4",0.9999977
feature_116.npy,"[0.      ,0.890196,0.      ,0.027451,0.      ,0.086275]","[0.     ,0.99999,0.00001,0.     ,0.     ,0.     ]","1",0.9948679
feature_101.npy,"[0.      ,0.      ,0.854902,0.14902 ,0.      ,0.      ]","[0.      ,0.000125,0.812277,0.185863,0.001735,0.      ]","2",0.998627
feature_415.npy,"[0.      ,0.      ,1.      ,0.003922,0.      ,0.      ]","[0.,0.,1.,0.,0.,0.]","2",0.9999924
feature_134.npy,"[0.      ,0.003922,0.      ,0.886275,0.086275,0.027451]","[0.      ,0.005686,0.000313,0.928092,0.065909,0.      ]","3",0.9991821
feature_140.npy,"[0.,0.,1.,0.,0.,0.]","[0.      ,0.000087,0.999913,0.      ,0.      ,0.      ]","2",1.0
feature_136.npy,"[0.      ,0.168627,0.      ,0.298039,0.537255,0.      ]","[0.      ,0.215133,0.000165,0.215228,0.569474,0.      ]","4",0.98786366
feature_110.npy,"[0.,0.,1.,0.,0.,0.]","[0.      ,0.      ,0.999958,0.      ,0.000041,0.      ]","2",1.0
feature_254.npy,"[0.,0.,1.,0.,0.,0.]","[0.,0.,1.,0.,0.,0.]","2",1.0
feature_103.npy,"[0.,0.,1.,0.,0.,0.]","[0.      ,0.      ,0.998866,0.000105,0.001029,0.      ]","2",0.99999946
feature_122.npy,"[0.,1.,0.,0.,0.,0.]","[0.,1.,0.,0.,0.,0.]","1",1.0
feature_251.npy,"[0.      ,0.003922,0.85098 ,0.14902 ,0.      ,0.      ]","[0.      ,0.001634,0.998366,0.      ,0.      ,0.      ]","2",0.98500705
feature_257.npy,"[0.,0.,1.,0.,0.,0.]","[0.,0.,1.,0.,0.,0.]","2",1.0
feature_412.npy,"[0.090196,0.      ,0.913726,0.      ,0.      ,0.      ]","[0.,0.,1.,0.,0.,0.]","2",0.9951632
feature_139.npy,"[0.      ,0.007843,0.984314,0.      ,0.007843,0.      ]","[0.      ,0.007564,0.984248,0.000792,0.007395,0.      ]","2",0.9999995
feature_129.npy,"[0.      ,0.764706,0.239216,0.      ,0.      ,0.      ]","[0.,1.,0.,0.,0.,0.]","1",0.95439285
feature_126.npy,"[0.      ,0.996078,0.      ,0.      ,0.003922,0.003922]","[0.,1.,0.,0.,0.,0.]","1",0.9999845
feature_250.npy,"[0.      ,0.003922,0.498039,0.498039,0.      ,0.      ]","[0.      ,0.005102,0.994898,0.      ,0.      ,0.      ]","2",0.7071151
feature_125.npy,"[0.,1.,0.,0.,0.,0.]","[0.,1.,0.,0.,0.,0.]","1",1.0
feature_133.npy,"[0.      ,0.      ,0.003922,0.972549,0.027451,0.      ]","[0.      ,0.000227,0.002756,0.960666,0.036351,0.      ]","3",0.99995315
feature_108.npy,"[0.      ,0.      ,0.952941,0.      ,0.05098 ,0.      ]","[0.      ,0.      ,0.973443,0.00027 ,0.026287,0.      ]","2",0.9996501
feature_102.npy,"[0.      ,0.003922,0.984314,0.      ,0.015686,0.      ]","[0.      ,0.007075,0.977373,0.000227,0.015325,0.      ]","2",0.99999464
feature_352.npy,"[0.      ,0.      ,0.321569,0.580392,0.101961,0.      ]","[0.      ,0.      ,0.387519,0.522659,0.089822,0.      ]","3",0.9913592
feature_353.npy,"[0.,0.,1.,0.,0.,0.]","[0.,0.,1.,0.,0.,0.]","2",1.0
feature_128.npy,"[0.,1.,0.,0.,0.,0.]","[0.,1.,0.,0.,0.,0.]","1",1.0
feature_117.npy,"[0.      ,0.988235,0.      ,0.015686,0.      ,0.      ]","[0.,1.,0.,0.,0.,0.]","1",0.99987406
feature_138.npy,"[0.      ,0.      ,0.913726,0.      ,0.086275,0.      ]","[0.      ,0.000191,0.917544,0.000001,0.082264,0.      ]","2",0.99998885
feature_413.npy,"[0.007843,0.      ,0.996078,0.      ,0.      ,0.      ]","[0.,0.,1.,0.,0.,0.]","2",0.999969
feature_131.npy,"[0.,1.,0.,0.,0.,0.]","[0.,1.,0.,0.,0.,0.]","1",1.0
feature_414.npy,"[0.239216,0.      ,0.764706,0.003922,0.      ,0.      ]","[0.,0.,1.,0.,0.,0.]","2",0.9543814
feature_135.npy,"[0.,1.,0.,0.,0.,0.]","[0.      ,0.999999,0.      ,0.      ,0.000001,0.      ]","1",1.0
feature_124.npy,"[0.,1.,0.,0.,0.,0.]","[0.,1.,0.,0.,0.,0.]","1",1.0
